僲	亻 覀 舛
儏	亻 粲 
兯	丷 𰆊 
兺	分 叱 
厁	斜 𰆊 
厑	厂 叱 
喸	甫 叱 
嗧	加 侖 
嗭	直 叱 
嗴	口 羗 
嚑	口 熏 
囕	口 覽 
壪	土 彎 
夑	火 言 火 夂 
夞	外 叱 
孧	幼 子 
嵵	山 時 
嶶	山 微 
嶿	山 需 
巪	巨 𠃍 
巬	工 几 夫 
巼	巴 叱 
幉	巾 枼 
幥	巾 掌 
廤	庫 叱 
廭	广 積 
徚	彳 柬 
撶	扌 華 
攚	扌 營 
旕	於 叱 
曢	日 寮 
朑	月 世 
朥	月 勞 
桞	木 邜 
梻	木 佛 
榋	木 彐 彐 彐 
榌	木 飛 
櫊	木 閣 
櫦	木 慶 
櫵	木 蕉 
櫷	木 龜 
欍	木 舊 
欕	木 嚴 
歚	善 欠 
毮	扌 毟 
溊	氵 叚 
溋	氵 盈 
潈	氵 𬑔 
潉	氵 崑 
澚	氵 粵 
澝	氵 甯 
濸	氵 蒼 
濹	氵 墨 
瀭	氵 輸 
炿	火 丿 丹 
熴	火 崑 
燝	火 景 
燞	隹 欠 灬 
爎	火 寮 
爘	火 餐 
爳	爲 了 
猠	犭 典 
獇	犭 羗 
獤	犭 敦 
珯	𤣩 老 
璍	𤣩 華 
癷	癶 干 
磮	石 崙 
礢	石 養 
禣	礻 尃 
稥	禾 ⺣ 日 
穒	禾 鳥 
窧	穴 卓 
篐	竹 𣐝 
簯	竹 棋 
簱	竹 𣄃 
籂	竹 飾 
籎	竹 疑 
籡	竹 撿 
紦	糹 巴 
縇	糹 宣 
縨	糹 晃 
缼	缶 欠 
罀	缶 兆 
艠	舟 登 
茒	艹 邜 
莻	艿 叱 
萙	艹 枕 
萞	艹 𠔿 比 
蒊	花 叱 
蓞	艹 舀 
蔶	艹 責 
薭	艹 稗 
藔	艹 寮 
藵	艹 褒 
蘒	艹 穐 
虄	艹 虫 夂 産 
虅	艹 騰 
螧	虫 耆 
螩	虫 條 
蟵	虫 厨 
蠴	虫 薯 
衐	行 巨 
袰	母 衣 
襅	衤 畢 
襨	衤 對 
覄	覀 伏 
誮	言 花 
謃	言 星 
贌	貝 菐 
贘	貝 賞 
趰	走 爾 
躮	身 分 
躵	身 忍 
躻	身 空 
躼	身 長 
辪	止 𠂤 辛 
鎼	金 𧆠 
鏲	金 牽 
鐢	棥 金 
鐣	金 掌 
鑦	金 賢 
鑧	金 寬 
闎	門 泉 
闏	門 風 
闧	門 遠 
霻	雨 豊 
鱫	魚 愛 
鵇	年 鳥 
鵥	判 鳥 
鶍	易 鳥 
鶎	宗 鳥 
龦	火 常 
龧	日 暑 
龨	匚 隹 
龫	車 𫢉 
龮	馬 翼 
龱	囗 㐅 
龲	金 庫 
龺	十 日 十 
龻	糸 言 糸 
鿃	目 㚒 
鿄	㲽 木 
鿌	氵 亰 
﨩	⻖ 島 
㐜	求 九 
㐝	拘 乙 
㐞	其 乙 
㐟	非 乙 
㐢	浮 乙 
㐣	广 車 乙 
㐥	鋤 乙 
㐦	舉 乙 
㐫	亠 凶 
㐬	𠫓 𫶧 
㐭	亠 回 
㐮	衣 八 𠀎 
㐯	亠 吕 香 
㑅	亻 𠂉 上 
㑎	亻 巛 山 
㑐	亻 尗 
㑨	亻 口 矢 
㑪	亻 斉 
㑮	亻 軍 
㑰	亻 彖 
㑱	亻 柔 
㑳	亻 芻 
㑸	亻 古 可 
㑹	亼 由 曰 
㑺	亻 隽 
㑻	亻 密 
㑼	亻 略 
㑽	亻 堂 
㑾	亻 䚻 
㑿	亻 巢 
㒀	亻 啇 
㒁	亻 圉 
㒂	亻 著 
㒃	亻 貳 
㒄	亻 然 
㒅	亻 袲 
㒆	亻 翕 
㒊	亻 歰 
㒋	亻 斯 
㒌	亻 𤇾 几 
㒍	亻 絫 
㒎	亻 夭 非 
㒐	亻 筍 
㒑	亻 匯 
㒒	亻 業 
㒔	亻 蜀 
㒕	亻 雍 
㒗	亻 䑓 
㒙	亻 綿 
㒚	亻 㥯 
㒛	亻 翟 
㒜	亻 與 
㒝	亻 蔑 
㒞	亻 嶲 
㒟	亻 褭 
㒠	亻 韰 
㒡	亻 繇 
㒤	亻 聶 
㒥	亻 豐 
㒦	亻 壘 
㒧	亻 離 
㒩	亻 蠡 
㒵	白 八 
㒷	𠔿 一 八 
㒸	丷 豕 
㒻	⺜ 見 
㒽	⺜ 卷 
㒾	⺜ 施 
㒿	⺜ 離 
㓂	冖 元 女 
㓃	冖 託 
㓄	參 冘 
㓘	夙 玉 
㓚	工 刂 
㓜	幺 刀 
㓝	井 刂 
㓞	丰 刀 
㓠	占 刂 
㓡	缶 刂 
㓢	各 刂 
㓣	合 刂 
㓧	含 刂 
㓨	夾 刂 
㓩	角 刂 
㓪	良 刂 
㓭	曷 刂 
㓮	周 刂 
㓯	甾 刂 
㓰	画 刂 
㓱	俞 刂 
㓲	扁 刂 
㓳	是 刂 
㓴	耎 刂 
㓵	咢 刂 
㓶	契 刂 
㓷	臬 刂 
㓸	𠁁 刂 
㓹	厂 炎 刂 
㓺	虔 刂 
㓼	桼 刂 
㓽	崇 刂 
㓾	犀 刂 
㔀	景 刂 
㔁	登 刂 
㔂	粦 刂 
㔃	絕 刀 
㔄	粟 刂 
㔅	肅 刂 
